resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24349,1017,830,9,33,4,4,4,4,12.0,53,+34.905,5106103,38,5,1:34.162,223.351,1
24350,1017,20,6,5,7,5,5,5,11.0,53,+1:02.796,5133994,53,1,1:32.740,226.775,1
24351,1017,832,1,55,6,6,6,6,8.0,53,+1:35.462,5166660,52,6,1:34.561,222.408,1
24352,1017,8,51,7,12,7,7,7,6.0,52,\N,\N,47,8,1:34.873,221.677,11
24353,1017,807,4,27,13,8,8,8,4.0,52,\N,\N,46,10,1:34.950,221.497,11
24354,1017,846,1,4,5,9,9,9,2.0,52,\N,\N,45,7,1:34.754,221.955,11
24355,1017,842,9,10,9,10,10,10,1.0,52,\N,\N,47,15,1:35.197,220.922,11
24356,1017,817,4,3,8,11,11,11,0.0,52,\N,\N,42,14,1:35.150,221.032,11
24357,1017,815,211,11,14,12,12,12,0.0,52,\N,\N,42,11,1:35.014,221.348,11
24358,1017,840,211,18,17,13,13,13,0.0,52,\N,\N,44,9,1:34.924,221.558,11
24359,1017,826,5,26,19,14,14,14,0.0,52,\N,\N,43,16,1:35.225,220.857,11
24360,1017,848,5,23,11,15,15,15,0.0,52,\N,\N,51,12,1:35.029,221.313,11
24361,1017,841,51,99,10,16,16,16,0.0,52,\N,\N,50,13,1:35.115,221.113,11
24362,1017,825,210,20,15,17,17,17,0.0,52,\N,\N,50,18,1:35.692,219.780,11
24363,1017,9,3,88,18,18,18,18,0.0,51,\N,\N,50,20,1:36.608,217.696,12
24364,1017,847,3,63,20,19,19,19,0.0,51,\N,\N,51,19,1:35.830,219.463,12
24365,1017,154,210,8,16,20,20,20,0.0,44,\N,\N,42,17,1:35.691,219.782,31
24366,1018,830,9,33,2,1,1,1,26.0,71,1:22:01.822,4921822,60,1,1:07.475,230.378,1
24367,1018,844,6,16,1,2,2,2,18.0,71,+2.724,4924546,58,3,1:07.994,228.620,1
24368,1018,822,131,77,3,3,3,3,15.0,71,+18.960,4940782,53,7,1:08.565,226.716,1
24369,1018,20,6,5,9,4,4,4,12.0,71,+19.610,4941432,62,2,1:07.676,229.694,1
24370,1018,1,131,44,4,5,5,5,10.0,71,+22.805,4944627,69,5,1:08.050,228.432,1
24371,1018,846,1,4,5,6,6,6,8.0,70,\N,\N,69,8,1:08.699,226.274,11
24372,1018,842,9,10,8,7,7,7,6.0,70,\N,\N,63,9,1:08.790,225.974,11
24373,1018,832,1,55,19,8,8,8,4.0,70,\N,\N,53,6,1:08.117,228.207,11
24374,1018,8,51,7,6,9,9,9,2.0,70,\N,\N,57,15,1:09.126,224.876,11
24375,1018,841,51,99,7,10,10,10,1.0,70,\N,\N,57,13,1:09.051,225.120,11
24376,1018,815,211,11,13,11,11,11,0.0,70,\N,\N,67,14,1:09.061,225.087,11
24377,1018,817,4,3,12,12,12,12,0.0,70,\N,\N,65,4,1:08.019,228.536,11
24378,1018,807,4,27,15,13,13,13,0.0,70,\N,\N,59,16,1:09.248,224.480,11
24379,1018,840,211,18,14,14,14,14,0.0,70,\N,\N,57,17,1:09.288,224.350,11
24380,1018,848,5,23,18,15,15,15,0.0,70,\N,\N,59,11,1:08.946,225.463,11
24381,1018,154,210,8,11,16,16,16,0.0,70,\N,\N,56,12,1:08.987,225.329,11
24382,1018,826,5,26,16,17,17,17,0.0,70,\N,\N,58,18,1:09.498,223.672,11
24383,1018,847,3,63,0,18,18,18,0.0,69,\N,\N,52,19,1:09.926,222.303,12
24384,1018,825,210,20,10,19,19,19,0.0,69,\N,\N,69,10,1:08.903,225.604,12
24385,1018,9,3,88,17,20,20,20,0.0,68,\N,\N,55,20,1:10.964,219.051,13
24386,1019,1,131,44,2,1,1,1,26.0,52,1:21:08.452,4868452,52,1,1:27.369,242.735,1
24387,1019,822,131,77,1,2,2,2,18.0,52,+24.928,4893380,47,2,1:27.406,242.633,1
24388,1019,844,6,16,3,3,3,3,15.0,52,+30.117,4898569,47,5,1:29.313,237.452,1
24389,1019,842,9,10,5,4,4,4,12.0,52,+34.692,4903144,48,8,1:29.544,236.839,1
24390,1019,830,9,33,4,5,5,5,10.0,52,+39.458,4907910,45,4,1:29.272,237.561,1
24391,1019,832,1,55,13,6,6,6,8.0,52,+53.639,4922091,50,11,1:29.757,236.277,1
24392,1019,817,4,3,7,7,7,7,6.0,52,+54.401,4922853,50,9,1:29.624,236.628,1
24393,1019,8,51,7,12,8,8,8,4.0,52,+1:05.540,4933992,51,14,1:30.034,235.551,1
24394,1019,826,5,26,17,9,9,9,2.0,52,+1:06.720,4935172,51,12,1:29.910,235.875,1
24395,1019,807,4,27,10,10,10,10,1.0,52,+1:12.733,4941185,51,13,1:29.949,235.773,1
24396,1019,846,1,4,8,11,11,11,0.0,52,+1:14.281,4942733,50,10,1:29.636,236.596,1
24397,1019,848,5,23,9,12,12,12,0.0,52,+1:15.617,4944069,46,15,1:30.872,233.378,1
24398,1019,840,211,18,18,13,13,13,0.0,52,+1:21.086,4949538,49,6,1:29.390,237.248,1
24399,1019,847,3,63,19,14,14,14,0.0,51,\N,\N,50,16,1:31.013,233.017,11
24400,1019,9,3,88,20,15,15,15,0.0,51,\N,\N,50,17,1:31.509,231.754,11
24401,1019,20,6,5,6,16,16,16,0.0,51,\N,\N,46,3,1:28.733,239.004,11
24402,1019,815,211,11,15,17,17,17,0.0,51,\N,\N,50,7,1:29.456,237.072,11
24403,1019,841,51,99,11,\N,R,18,0.0,18,\N,\N,17,18,1:32.464,229.360,20
24404,1019,154,210,8,14,\N,R,19,0.0,9,\N,\N,4,20,1:34.350,224.775,4
24405,1019,825,210,20,16,\N,R,20,0.0,6,\N,\N,5,19,1:33.425,227.001,4
24406,1020,830,9,33,2,1,1,1,26.0,64,1:44:31.275,6271275,61,1,1:16.645,214.839,1
24407,1020,20,6,5,20,2,2,2,18.0,64,+7.333,6278608,63,2,1:16.794,214.423,1
24408,1020,826,5,26,14,3,3,3,15.0,64,+8.305,6279580,61,6,1:17.708,211.900,1
24409,1020,840,211,18,15,4,4,4,12.0,64,+8.966,6280241,61,8,1:17.831,211.566,1
24410,1020,832,1,55,7,5,5,5,10.0,64,+9.583,6280858,63,9,1:17.841,211.538,1
24411,1020,848,5,23,16,6,6,6,8.0,64,+10.052,6281327,63,10,1:17.850,211.514,1
24412,1020,154,210,8,6,7,7,7,6.0,64,+16.838,6288113,55,7,1:17.746,211.797,1
24413,1020,825,210,20,12,8,8,8,4.0,64,+18.765,6290040,62,5,1:17.507,212.450,1
24414,1020,1,131,44,1,9,9,9,2.0,64,+19.667,6290942,64,12,1:18.811,208.935,1
24415,1020,9,3,88,18,10,10,10,1.0,64,+24.987,6296262,63,13,1:19.062,208.271,1
24416,1020,847,3,63,17,11,11,11,0.0,64,+26.404,6297679,60,3,1:17.485,212.510,1
24417,1020,8,51,7,5,12,12,12,0.0,64,+42.214,6313489,60,15,1:19.563,206.960,1
24418,1020,841,51,99,11,13,13,13,0.0,64,+43.849,6315124,60,14,1:19.300,207.646,1
24419,1020,842,9,10,4,14,14,14,0.0,61,\N,\N,56,4,1:17.495,212.483,4
24420,1020,822,131,77,3,\N,R,15,0.0,56,\N,\N,54,11,1:18.272,210.374,3
24421,1020,807,4,27,9,\N,R,16,0.0,39,\N,\N,18,17,1:29.576,183.826,3
24422,1020,844,6,16,10,\N,R,17,0.0,27,\N,\N,17,16,1:27.697,187.764,3
24423,1020,846,1,4,19,\N,R,18,0.0,25,\N,\N,16,18,1:31.081,180.788,75
24424,1020,817,4,3,13,\N,R,19,0.0,13,\N,\N,10,19,1:32.654,177.719,43
24425,1020,815,211,11,8,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,20
24426,1021,1,131,44,3,1,1,1,25.0,70,1:35:03.796,5703796,60,2,1:18.528,200.840,1
24427,1021,830,9,33,1,2,2,2,19.0,70,+17.796,5721592,69,1,1:17.103,204.552,1
24428,1021,20,6,5,5,3,3,3,15.0,70,+1:01.433,5765229,65,4,1:19.786,197.673,1
24429,1021,844,6,16,4,4,4,4,12.0,70,+1:05.250,5769046,49,5,1:20.493,195.937,1
24430,1021,832,1,55,8,5,5,5,10.0,69,\N,\N,66,10,1:21.002,194.706,11
24431,1021,842,9,10,6,6,6,6,8.0,69,\N,\N,65,12,1:21.045,194.602,11
24432,1021,8,51,7,10,7,7,7,6.0,69,\N,\N,65,9,1:20.880,195.000,11
24433,1021,822,131,77,2,8,8,8,4.0,69,\N,\N,59,3,1:19.331,198.807,11
24434,1021,846,1,4,7,9,9,9,2.0,69,\N,\N,65,13,1:21.188,194.260,11
24435,1021,848,5,23,12,10,10,10,1.0,69,\N,\N,65,7,1:20.621,195.626,11
24436,1021,815,211,11,16,11,11,11,0.0,69,\N,\N,47,15,1:21.734,192.962,11
24437,1021,807,4,27,11,12,12,12,0.0,69,\N,\N,59,14,1:21.650,193.161,11
24438,1021,825,210,20,14,13,13,13,0.0,69,\N,\N,67,11,1:21.008,194.691,11
24439,1021,817,4,3,20,14,14,14,0.0,69,\N,\N,49,8,1:20.839,195.098,11
24440,1021,826,5,26,13,15,15,15,0.0,68,\N,\N,55,16,1:21.932,192.496,12
24441,1021,847,3,63,15,16,16,16,0.0,68,\N,\N,66,17,1:22.386,191.435,12
24442,1021,840,211,18,18,17,17,17,0.0,68,\N,\N,52,6,1:20.603,195.670,12
24443,1021,841,51,99,17,18,18,18,0.0,68,\N,\N,64,19,1:23.134,189.712,12
24444,1021,9,3,88,19,19,19,19,0.0,67,\N,\N,42,20,1:23.436,189.026,13
24445,1021,154,210,8,9,\N,R,20,0.0,49,\N,\N,46,18,1:22.809,190.457,34
24446,1022,844,6,16,1,1,1,1,25.0,44,1:23:45.710,5025710,23,4,1:46.664,236.390,1
24447,1022,1,131,44,3,2,2,2,18.0,44,+0.981,5026691,24,3,1:46.580,236.577,1
24448,1022,822,131,77,4,3,3,3,15.0,44,+12.585,5038295,27,2,1:46.465,236.832,1
24449,1022,20,6,5,2,4,4,4,13.0,44,+26.422,5052132,36,1,1:46.409,236.957,1
24450,1022,848,9,23,17,5,5,5,10.0,44,+1:21.325,5107035,41,5,1:47.507,234.537,1
24451,1022,815,211,11,7,6,6,6,8.0,44,+1:24.448,5110158,29,13,1:48.781,231.790,1
24452,1022,826,5,26,19,7,7,7,6.0,44,+1:29.657,5115367,26,7,1:48.143,233.157,1
24453,1022,807,4,27,12,8,8,8,4.0,44,+1:46.639,5132349,34,9,1:48.349,232.714,1
24454,1022,842,5,10,13,9,9,9,2.0,44,+1:49.168,5134878,21,17,1:49.700,229.848,1
24455,1022,840,211,18,16,10,10,10,1.0,44,+1:49.838,5135548,34,10,1:48.357,232.697,1
24456,1022,846,1,4,11,11,11,11,0.0,43,\N,\N,21,8,1:48.321,232.774,5
24457,1022,825,210,20,8,12,12,12,0.0,43,\N,\N,33,11,1:48.677,232.012,11
24458,1022,154,210,8,9,13,13,13,0.0,43,\N,\N,18,16,1:49.274,230.744,11
24459,1022,817,4,3,10,14,14,14,0.0,43,\N,\N,21,18,1:50.451,228.285,11
24460,1022,847,3,63,14,15,15,15,0.0,43,\N,\N,34,14,1:48.860,231.622,11
24461,1022,8,51,7,6,16,16,16,0.0,43,\N,\N,37,12,1:48.753,231.850,11
24462,1022,9,3,88,0,17,17,17,0.0,43,\N,\N,33,15,1:49.220,230.858,11
24463,1022,841,51,99,18,18,18,18,0.0,42,\N,\N,31,6,1:47.560,234.421,3
24464,1022,832,1,55,15,\N,R,19,0.0,1,\N,\N,\N,0,\N,\N,75
24465,1022,830,9,33,5,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,3
24466,1023,844,6,16,1,1,1,1,25.0,53,1:15:26.665,4526665,47,4,1:23.009,251.235,1
24467,1023,822,131,77,3,2,2,2,18.0,53,+0.835,4527500,47,3,1:22.859,251.690,1
24468,1023,1,131,44,2,3,3,3,16.0,53,+35.199,4561864,51,1,1:21.779,255.014,1
24469,1023,817,4,3,5,4,4,4,12.0,53,+45.515,4572180,53,7,1:23.466,249.859,1
24470,1023,807,4,27,6,5,5,5,10.0,53,+58.165,4584830,53,8,1:23.641,249.337,1
24471,1023,848,9,23,8,6,6,6,8.0,53,+59.315,4585980,45,6,1:23.364,250.165,1
24472,1023,815,211,11,18,7,7,7,6.0,53,+1:13.802,4600467,35,9,1:23.770,248.953,1
24473,1023,830,9,33,19,8,8,8,4.0,53,+1:14.492,4601157,41,5,1:23.143,250.830,1
24474,1023,841,51,99,10,9,9,9,2.0,52,\N,\N,44,15,1:24.503,246.793,11
24475,1023,846,1,4,16,10,10,10,1.0,52,\N,\N,52,11,1:24.044,248.141,11
24476,1023,842,5,10,17,11,11,11,0.0,52,\N,\N,51,10,1:23.885,248.611,11
24477,1023,840,211,18,9,12,12,12,0.0,52,\N,\N,31,12,1:24.165,247.784,11
24478,1023,20,6,5,4,13,13,13,0.0,52,\N,\N,50,2,1:22.799,251.872,11
24479,1023,847,3,63,14,14,14,14,0.0,52,\N,\N,51,16,1:24.842,245.807,11
24480,1023,8,51,7,0,15,15,15,0.0,52,\N,\N,52,13,1:24.419,247.039,11
24481,1023,154,210,8,13,16,16,16,0.0,52,\N,\N,31,17,1:24.985,245.393,11
24482,1023,9,3,88,15,17,17,17,0.0,51,\N,\N,47,18,1:24.989,245.382,12
24483,1023,825,210,20,11,\N,R,18,0.0,43,\N,\N,38,14,1:24.443,246.968,9
24484,1023,826,5,26,12,\N,R,19,0.0,29,\N,\N,19,20,1:25.772,243.142,5
24485,1023,832,1,55,7,\N,R,20,0.0,27,\N,\N,10,19,1:25.637,243.525,36
24486,1024,20,6,5,3,1,1,1,25.0,61,1:58:33.667,7113667,57,5,1:44.802,173.916,1
24487,1024,844,6,16,1,2,2,2,18.0,61,+2.641,7116308,59,4,1:44.723,174.047,1
24488,1024,830,9,33,4,3,3,3,15.0,61,+3.821,7117488,56,8,1:45.176,173.298,1
24489,1024,1,131,44,2,4,4,4,12.0,61,+4.608,7118275,58,7,1:44.914,173.730,1
24490,1024,822,131,77,5,5,5,5,10.0,61,+6.119,7119786,58,2,1:43.534,176.046,1
24491,1024,848,9,23,6,6,6,6,8.0,61,+11.663,7125330,59,9,1:45.260,173.159,1
24492,1024,846,1,4,9,7,7,7,6.0,61,+14.769,7128436,58,11,1:45.716,172.412,1
24493,1024,842,5,10,11,8,8,8,4.0,61,+15.547,7129214,58,13,1:45.769,172.326,1
24494,1024,807,4,27,8,9,9,9,2.0,61,+16.718,7130385,59,12,1:45.765,172.333,1
24495,1024,841,51,99,10,10,10,10,1.0,61,+27.855,7141522,59,10,1:45.630,172.553,1
24496,1024,154,210,8,17,11,11,11,0.0,61,+35.436,7149103,54,16,1:46.274,171.507,1
24497,1024,832,1,55,7,12,12,12,0.0,61,+35.974,7149641,41,15,1:45.969,172.001,1
24498,1024,840,211,18,16,13,13,13,0.0,61,+36.419,7150086,57,6,1:44.896,173.760,1
24499,1024,817,4,3,20,14,14,14,0.0,61,+37.660,7151327,55,14,1:45.915,172.088,1
24500,1024,826,5,26,14,15,15,15,0.0,61,+38.178,7151845,57,3,1:44.371,174.634,1
24501,1024,9,3,88,19,16,16,16,0.0,61,+47.024,7160691,59,18,1:46.793,170.674,1
24502,1024,825,210,20,13,17,17,17,0.0,61,+1:26.522,7200189,58,1,1:42.301,178.168,1
24503,1024,8,51,7,12,\N,R,18,0.0,49,\N,\N,18,19,1:47.062,170.245,4
24504,1024,815,211,11,15,\N,R,19,0.0,42,\N,\N,15,17,1:46.683,170.850,5
24505,1024,847,3,63,18,\N,R,20,0.0,34,\N,\N,29,20,1:48.285,168.322,4
24506,1025,1,131,44,2,1,1,1,26.0,53,1:33:38.992,5618992,51,1,1:35.761,219.847,1
24507,1025,822,131,77,4,2,2,2,18.0,53,+3.829,5622821,50,3,1:36.316,218.580,1
24508,1025,844,6,16,1,3,3,3,15.0,53,+5.212,5624204,52,2,1:36.193,218.860,1
24509,1025,830,9,33,9,4,4,4,12.0,53,+14.210,5633202,47,5,1:36.937,217.180,1
24510,1025,848,9,23,0,5,5,5,10.0,53,+38.348,5657340,50,4,1:36.762,217.573,1
24511,1025,832,1,55,5,6,6,6,8.0,53,+45.889,5664881,53,6,1:38.020,214.780,1
24512,1025,815,211,11,11,7,7,7,6.0,53,+48.728,5667720,49,7,1:38.043,214.730,1
24513,1025,846,1,4,7,8,8,8,4.0,53,+57.749,5676741,52,11,1:38.301,214.166,1
24514,1025,825,210,20,13,9,9,9,2.0,53,+58.779,5677771,53,8,1:38.130,214.539,1
24515,1025,807,4,27,6,10,10,10,1.0,53,+59.841,5678833,53,12,1:38.519,213.692,1
24516,1025,840,211,18,14,11,11,11,0.0,53,+1:00.821,5679813,53,15,1:38.611,213.493,1
24517,1025,826,5,26,19,12,12,12,0.0,53,+1:02.496,5681488,52,9,1:38.228,214.325,1
24518,1025,8,51,7,15,13,13,13,0.0,53,+1:08.910,5687902,51,13,1:38.589,213.541,1
24519,1025,842,5,10,16,14,14,14,0.0,53,+1:10.076,5689068,51,14,1:38.606,213.504,1
24520,1025,841,51,99,12,15,15,15,0.0,53,+1:13.346,5692338,51,16,1:38.696,213.309,1
24521,1025,9,3,88,18,\N,R,16,0.0,28,\N,\N,24,19,1:42.327,205.740,23
24522,1025,847,3,63,17,\N,R,17,0.0,27,\N,\N,18,18,1:41.705,206.998,23
24523,1025,20,6,5,3,\N,R,18,0.0,26,\N,\N,16,10,1:38.245,214.288,75
24524,1025,817,4,3,10,\N,R,19,0.0,24,\N,\N,22,17,1:41.284,207.859,4
24525,1025,154,210,8,8,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
24526,1026,822,131,77,3,1,1,1,25.0,52,1:21:46.755,4906755,49,4,1:31.862,227.571,1
24527,1026,20,6,5,1,2,2,2,18.0,52,+13.343,4920098,38,5,1:32.122,226.929,1
24528,1026,1,131,44,4,3,3,3,16.0,52,+13.858,4920613,45,1,1:30.983,229.770,1
24529,1026,848,9,23,6,4,4,4,12.0,52,+59.537,4966292,36,8,1:32.775,225.332,1
24530,1026,832,1,55,7,5,5,5,10.0,52,+1:09.101,4975856,46,12,1:33.563,223.434,1
24531,1026,844,6,16,2,6,6,6,8.0,51,\N,\N,48,2,1:31.611,228.195,11
24532,1026,842,5,10,9,7,7,7,6.0,51,\N,\N,43,17,1:35.321,219.313,11
24533,1026,815,211,11,17,8,8,8,4.0,51,\N,\N,46,7,1:32.621,225.706,11
24534,1026,840,211,18,12,9,9,9,2.0,51,\N,\N,26,14,1:34.713,220.721,11
24535,1026,826,5,26,14,10,10,10,1.0,51,\N,\N,47,10,1:33.239,224.210,11
24536,1026,846,1,4,8,11,11,11,0.0,51,\N,\N,31,13,1:34.116,222.121,11
24537,1026,8,51,7,13,12,12,12,0.0,51,\N,\N,50,9,1:33.190,224.328,11
24538,1026,154,210,8,10,13,13,13,0.0,51,\N,\N,18,16,1:34.988,220.082,11
24539,1026,841,51,99,11,14,14,14,0.0,51,\N,\N,51,6,1:32.369,226.322,11
24540,1026,825,210,20,19,15,15,15,0.0,51,\N,\N,49,3,1:31.732,227.894,11
24541,1026,847,3,63,18,16,16,16,0.0,50,\N,\N,27,18,1:35.458,218.998,12
24542,1026,9,3,88,0,17,17,17,0.0,50,\N,\N,44,19,1:36.332,217.012,12
24543,1026,830,9,33,5,\N,R,18,0.0,14,\N,\N,10,20,1:37.249,214.965,23
24544,1026,817,4,3,16,\N,D,19,0.0,51,\N,\N,48,11,1:33.481,223.630,2
24545,1026,807,4,27,15,\N,D,20,0.0,51,\N,\N,47,15,1:34.921,220.237,2
24546,1027,1,131,44,3,1,1,1,25.0,71,1:36:48.904,5808904,66,4,1:19.461,194.993,1
24547,1027,20,6,5,2,2,2,2,18.0,71,+1.766,5810670,68,3,1:19.381,195.190,1
24548,1027,822,131,77,6,3,3,3,15.0,71,+3.553,5812457,66,5,1:19.494,194.912,1
24549,1027,844,6,16,1,4,4,4,13.0,71,+6.368,5815272,53,1,1:19.232,195.557,1
24550,1027,848,9,23,5,5,5,5,10.0,71,+21.399,5830303,48,2,1:19.325,195.328,1
24551,1027,830,9,33,4,6,6,6,8.0,71,+1:08.807,5877711,65,11,1:20.406,192.702,1
24552,1027,815,211,11,11,7,7,7,6.0,71,+1:13.819,5882723,70,12,1:20.485,192.512,1
24553,1027,817,4,3,13,8,8,8,4.0,71,+1:14.924,5883828,53,9,1:20.146,193.327,1
24554,1027,842,5,10,10,9,9,9,2.0,70,\N,\N,53,6,1:19.530,194.824,11
24555,1027,807,4,27,12,10,10,10,1.0,70,\N,\N,59,14,1:20.791,191.783,11
24556,1027,826,5,26,9,11,11,11,0.0,70,\N,\N,48,7,1:19.905,193.910,11
24557,1027,840,211,18,16,12,12,12,0.0,70,\N,\N,68,15,1:20.922,191.473,11
24558,1027,832,1,55,7,13,13,13,0.0,70,\N,\N,66,10,1:20.311,192.929,11
24559,1027,841,51,99,15,14,14,14,0.0,70,\N,\N,65,16,1:21.014,191.255,11
24560,1027,825,210,20,17,15,15,15,0.0,69,\N,\N,53,20,1:21.682,189.691,12
24561,1027,847,3,63,19,16,16,16,0.0,69,\N,\N,69,17,1:21.286,190.615,12
24562,1027,154,210,8,18,17,17,17,0.0,69,\N,\N,68,18,1:21.581,189.926,12
